ip.src_host,snmp.msgAuthoritativeEngineID,snmp.msgAuthoritativeEngineBoots,snmp.msgAuthoritativeEngineTime,Enterprise code,Mac
95.97.12.50,800022250318b169592398,18,11562334,8741,18b169592398
145.131.216.175,800000090300e02f6dd7d92a,2,19687948,9,00e02f6dd7d92a
91.198.123.53,80001f8880a70db16d48f6016400000000,6,8202564,8072,No Mac indication (0x03)
92.64.33.39,8000000903003890a5d19c40,2,80443476,9,003890a5d19c40
145.131.108.167,8000000903002cd02d1075a2,8,7520538,9,002cd02d1075a2
87.213.234.200,80000009030024813b30f300,27,5875393,9,0024813b30f300
91.220.28.133,800000090300ec01d5002200,36,7354974,9,00ec01d5002200
89.20.92.202,800000090300d4789bbb6012,2,17523273,9,00d4789bbb6012
87.215.15.39,800000090300845a3e071501,3,5092365,9,00845a3e071501
94.209.217.1,8000000903007018a7676c00,8,28995639,9,007018a7676c00
143.179.146.0,502660000000010030000128,5,49641269,1344692224,not_set
147.45.101.173,80003a8c04,0,0,invalid,invalid
93.117.242.175,80000009030044b6be6cd100,28,8837288,9,0044b6be6cd100
146.19.254.60,80001f8880325be551faac8d65,7427,311,8072,No Mac indication (0x03)
