saddr,saddr_raw,daddr,daddr_raw,ipid,ttl,classification,success,sport,dport,udp_pkt_size,data,icmp_responder,icmp_type,icmp_code,icmp_unreach_str,repeat,cooldown,timestamp_str,timestamp_ts,timestamp_us
93.117.221.29,501052765,145.94.229.153,2581946001,46254,52,udp,1,161,47040,95,3055020103300e02024a6902022000040100020103041b3019040b800033870370fc8c144c4f020100020100040004000400302304000400a81d020237f00201000201003011300f060a2b060106030f01010400410144,,,,,0,0,2025-06-02T14:10:40.419+0200,1748866240,419296
91.189.211.33,567524699,145.94.229.153,2581946001,2573,242,udp,1,161,35237,112,3066020103300e02024a69020205dc040100020103041e301c040c80000009030058ac78268c8002011002034d737d0400040004003031040c80000009030058ac78268c800400a81f020237f002010002010030133011060a2b060106030f01010400410301d2db,,,,,0,0,2025-06-02T14:10:40.434+0200,1748866240,434715
92.65.110.163,2741911900,145.94.229.153,2581946001,1603,54,udp,1,161,44957,110,3064020103300f02024a69020300ffe3040100020103041d301b040b80001f8803a8c0ea07c6b002010102037c04bf040004000400302f040b80001f8803a8c0ea07c6b00400a81e020237f002010002010030123010060a2b060106030f0101040041020288,,,,,0,0,2025-06-02T14:10:41.390+0200,1748866241,390645
92.65.128.220,3699392860,145.94.229.153,2581946001,41176,245,udp,1,161,35830,112,3066020103300e02024a69020205dc040100020103041f301d040c8000000903007cad4fade780020112020402d627f60400040004003030040c8000000903007cad4fade7800400a81e020237f002010002010030123010060a2b060106030f0101040041021f52,,,,,0,0,2025-06-02T14:10:41.701+0200,1748866241,701318
149.143.23.137,2300022677,145.94.229.153,2581946001,24489,245,udp,1,161,42507,111,3065020103300e02024a69020205dc040100020103041e301c040c800000090300588b1c9df10002010c02037ff6760400040004003030040c800000090300588b1c9df1000400a81e020237f002010002010030123010060a2b060106030f010104004102057b,,,,,0,0,2025-06-02T14:10:41.708+0200,1748866241,708696
89.200.99.183,3076769881,145.94.229.153,2581946001,48215,54,udp,1,161,34206,121,306f020103300f02024a69020300ffe304010002010304233021041180001f8880eb8b3c14a1fd32680000000002010102030a97270400040004003034041180001f8880eb8b3c14a1fd3268000000000400a81d020237f00201000201003011300f060a2b060106030f01010400410130,,,,,0,0,2025-06-02T14:10:41.791+0200,1748866241,791959
94.142.215.145,2446823006,145.94.229.153,2581946001,3870,243,udp,1,161,59045,113,3067020103300e02024a69020205dc040100020103041f301d040c80000009030070e422eb0d0002010a020405ef7bf10400040004003031040c80000009030070e422eb0d000400a81f020237f002010002010030133011060a2b060106030f010104004103018770,,,,,0,0,2025-06-02T14:10:41.960+0200,1748866241,960455
89.20.95.224,3764327513,145.94.229.153,2581946001,53784,247,udp,1,161,38090,112,3066020103300e02024a69020205dc040100020103041f301d040c800000090300004268668fda020101020401c431000400040004003030040c800000090300004268668fda0400a81e020237f002010002010030123010060a2b060106030f010104004102227b,,,,,0,0,2025-06-02T14:10:42.163+0200,1748866242,163266
91.192.39.106,1780990043,145.94.229.153,2581946001,25358,55,udp,1,161,35942,123,3071020103300f02024a69020300ffe304010002010304243022041180001f8880cae459197e38475b0000000002011d02040181d5f10400040004003035041180001f8880cae459197e38475b000000000400a81e020237f002010002010030123010060a2b060106030f0101040041022dc9,,,,,0,0,2025-06-02T14:10:42.188+0200,1748866242,188267
89.255.47.164,2754608985,145.94.229.153,2581946001,2215,247,udp,1,161,60650,112,3066020103300e02024a69020205dc040100020103041f301d040c800000090300a8b456a6ed800201270204012ef5950400040004003030040c800000090300a8b456a6ed800400a81e020237f002010002010030123010060a2b060106030f01010400410205be,,,,,0,0,2025-06-02T14:10:42.632+0200,1748866242,632206
