ip.src_host,snmp.msgAuthoritativeEngineID,snmp.msgAuthoritativeEngineBoots,snmp.msgAuthoritativeEngineTime,Enterprise code,Mac
81.171.40.13,f5717f444ca88d95d300,23,80979074,1970372420,No Mac indication (0x03)
83.174.139.96,800000090300f872eac148b2,5,50301077,9,00f872eac148b2
23.109.80.237,80001f8880c0b5583c1f017d63,27,21167401,8072,No Mac indication (0x03)
83.174.137.139,0000000903005c3e06c2ab20,3,33879099,9,not_set
80.112.204.41,8000000903007411b2a40800,12,30329826,9,007411b2a40800
80.113.10.48,8000000903005c3e060f6200,8,6171985,9,005c3e060f6200
83.98.225.120,80000009030024169dbabb00,20,43422922,9,0024169dbabb00
46.144.107.200,800000090300004268d3f382,2,15230907,9,00004268d3f382
84.80.130.3,80001f88802aaf8962fd250368,1,3280664,8072,No Mac indication (0x03)
83.85.77.1,800000090300285261fb6400,15,30274655,9,00285261fb6400
77.160.33.20,80001f88031056ca1b3304,1,598523,8072,1056ca1b3304
84.26.108.244,8000124c057429af64cc3133,75,2872115,4684,No Mac indication (0x03)
46.145.136.0,800000090300cc167ed37538,2,48997343,9,00cc167ed37538
46.231.22.65,80000634b29c60001014a7de9f,1,17409915,1588,No Mac indication (0x03)
84.30.5.153,80000b2f05802994c5dd9133,1,2642086,2863,No Mac indication (0x03)
5.172.219.87,800007db03c4b8b48d48fa,28,2940641,2011,c4b8b48d48fa
80.57.86.1,800000090300d4ad710dc800,12,27085600,9,00d4ad710dc800
81.23.245.11,800007db0340eeddb2fa8c,23,48906618,2011,40eeddb2fa8c
46.19.222.195,80000634b20400001014cdd196,0,43703162,1588,No Mac indication (0x03)
46.144.70.88,800000090300c44d84605c00,17,707912,9,00c44d84605c00
45.143.250.109,80001f8880859e12634cde405600000000,42,3524890,8072,No Mac indication (0x03)
83.98.224.183,800000090300482e72fe6980,16,11818306,9,00482e72fe6980
81.171.74.131,f5717f444ca88d993f00,14,80976293,1970372420,No Mac indication (0x03)
84.24.7.13,80000b2f05b0c2872963ef33,1,3689124,2863,No Mac indication (0x03)
84.29.214.1,800000090300285261fb6000,8,32101329,9,00285261fb6000
37.203.57.69,800000090300707db9a0e3c0,1,11056200,9,00707db9a0e3c0
77.60.111.191,800000090300002f5c98ee80,10,49004937,9,00002f5c98ee80
84.35.118.4,800022250318b16980e734,35,1141791,8741,18b16980e734
83.174.134.88,800000090300000000000000,5,29022106,9,00000000000000
85.147.110.0,800000090300285261fb8800,11,27779411,9,00285261fb8800
77.60.145.149,80000009030044d3cae26d10,7,3441091,9,0044d3cae26d10
31.149.76.201,800000090300843dc6d07a14,2,530456,9,00843dc6d07a14
46.144.219.167,80000009030000351a2547f8,2,11991300,9,0000351a2547f8
85.146.214.203,80000009030080276c99b700,10,6436155,9,0080276c99b700
85.147.253.255,8000000903007018a7676c00,8,28990932,9,007018a7676c00
81.173.56.4,00000009030028c7cebd07b8,19,132241203,9,not_set
84.246.15.82,80000009ee000008e3fffc5c,6,79739792,9,No Mac indication (0x03)
85.144.64.1,502660000000031201007146,5,67693420,1344692224,not_set
31.149.168.167,800000090300c4f7d5148de4,2,105248936,9,00c4f7d5148de4
80.67.32.9,800000090300641225788007,18,2872704,9,00641225788007
45.86.179.199,800000090300005d73963650,1,6566778,9,00005d73963650
37.48.71.3,80001f8880fedc9d72aba8e26500000000,11,54464,8072,No Mac indication (0x03)
83.174.138.43,0000000903005c3e06c2abe6,9,24582025,9,not_set
31.149.66.81,80000009030070ea1afb8880,13,18506946,9,0070ea1afb8880
81.4.65.64,800000090300001873b8540c,6,340514610,9,00001873b8540c
77.60.207.254,800000090300b08bcf0541ac,2,95559927,9,00b08bcf0541ac
84.35.202.224,8000000903000024976b0400,8,163779355,9,000024976b0400
63.247.204.78,800000090300f01d2db47e81,39,5419928,9,00f01d2db47e81
81.173.69.225,80000009030084ebefe21b80,26,13985277,9,0084ebefe21b80
82.72.242.125,80000b2f05b0c28778581f33,1,1319208,2863,No Mac indication (0x03)
62.200.202.159,800000090300ec1d8bb25220,42,5180682,9,00ec1d8bb25220
81.173.51.95,00000009030028c7cebd07b8,19,132241204,9,not_set
83.85.60.1,800000090300285261fa5000,8,28990923,9,00285261fa5000
31.160.129.87,800000090300cc167eee20c0,1,271872997,9,00cc167eee20c0
31.149.26.255,800000090300e4a41c069b00,18,12192732,9,00e4a41c069b00
80.112.23.157,8000124c0570188beb25f133,105,1075891,4684,No Mac indication (0x03)
77.242.122.160,80000009030034ed1b8f9c80,10,80015418,9,0034ed1b8f9c80
83.167.201.21,8000000903004ce175e5e580,32,49351026,9,004ce175e5e580
31.160.12.144,800000090300ec01d5104c00,27,36815733,9,00ec01d5104c00
83.119.15.98,80000009030000175a74c39c,2,144630712,9,0000175a74c39c
80.67.32.111,8000000903006412257885c7,16,20877844,9,006412257885c7
81.175.94.160,800000090300a47806620d00,12,78743369,9,00a47806620d00
81.173.78.112,80000009030078f1c6933300,10,3379391,9,0078f1c6933300
5.159.39.195,8000000903006400f175f780,9,104468406,9,006400f175f780
31.161.67.32,8000000903000078882545dc,2,1659381,9,000078882545dc
84.35.101.39,800022250318b1699e10cc,16,8888134,8741,18b1699e10cc
37.235.8.1,800000090300ccef48ead700,7,22824046,9,00ccef48ead700
83.86.43.216,8000124c055435301aabdb33,479,3488068,4684,No Mac indication (0x03)
46.144.234.31,80000009030000f28bb5439c,2,4167116,9,0000f28bb5439c
45.156.48.1,800063a20320fdf1e8b804,1,110706452,25506,20fdf1e8b804
85.222.248.54,80000a4c015f611e83,14,59355778,2636,No Mac indication (0x03)
80.231.152.21,38303030343634373236393736363536653635373437333061,1314,8906395,942682160,not_set
80.113.248.171,8000000903005c64f1f38380,6,622013,9,005c64f1f38380
80.249.210.196,800000090300643aea1d5700,8,10190785,9,00643aea1d5700
83.87.130.125,8000124c05906ebbc44ab033,110,4064353,4684,No Mac indication (0x03)
46.243.189.18,8000304404464754363046544b3232303938343931,1747650783,698056,12356,No Mac indication (0x03)
85.144.132.1,502660000000010030000052,7,49377435,1344692224,not_set
46.144.21.248,80000009030040017aa187a4,2,3998349,9,0040017aa187a4
83.81.163.238,8000124c0570188beb314d33,291,2000850,4684,No Mac indication (0x03)
31.160.130.201,80000009030084b2618d0184,2,102049473,9,0084b2618d0184
37.247.46.255,8000000903000005740fb2bc,8,191948304,9,000005740fb2bc
31.160.94.177,800000090300e4387ed0b300,9,2412286,9,00e4387ed0b300
81.171.64.3,f5717f444ca88d993f00,14,80976525,1970372420,No Mac indication (0x03)
46.145.76.225,800000090300b08bcf70c174,3,104570360,9,00b08bcf70c174
31.161.28.249,8000000903005ca62dfa3b80,14,3629125,9,005ca62dfa3b80
83.81.136.65,80000b2f05705a9e27abca33,1,2661662,2863,No Mac indication (0x03)
80.65.12.147,800000090300885a92a4feaf,14,2485987,9,00885a92a4feaf
5.44.79.2,800000090300001ae2b8271b,7,357393247,9,00001ae2b8271b
31.160.168.184,800000090300007888bd40f8,2,20048732,9,00007888bd40f8
62.59.37.57,800000090300e069ba1c3100,18,2962768,9,00e069ba1c3100
37.247.39.128,8000000903000005740fb2bc,8,191948313,9,000005740fb2bc
37.220.169.2,80000634b29e2000101471d8f7,4,10299418,1588,No Mac indication (0x03)
80.79.194.255,800000090300001f9e6bdec0,16,183701147,9,00001f9e6bdec0
45.66.33.2,800000090300643aeae18000,3,128181908,9,00643aeae18000
82.75.50.108,80000b2f05802994c1514133,1,1932673,2863,No Mac indication (0x03)
31.160.229.80,80000009030084b2618d178c,2,15634836,9,0084b2618d178c
77.242.112.73,80000009030024d79ca39680,8,19803297,9,0024d79ca39680
