IP,Enterprise Code,MAC,Vendor
145.128.241.142,9,No Mac indication (0x03),ciscoSystems
92.66.56.16,9,00ac3a67667c06,ciscoSystems
94.142.214.193,9,00500f8054d200,ciscoSystems
92.48.253.34,9,547fee3f30c0,ciscoSystems
145.220.141.9,8072,No Mac indication (0x03),net-snmp
109.235.36.112,9,00d4eb68bd6280,ciscoSystems
89.20.95.87,9,0070df2fb49cbc,ciscoSystems
109.109.101.223,9,00b0c53ce4ad80,ciscoSystems
145.128.242.214,9,No Mac indication (0x03),ciscoSystems
92.65.139.200,9,0000fd2215a428,ciscoSystems
109.109.124.0,9,00a84fb1b2df80,ciscoSystems
94.208.24.0,9,0034f8e758d800,ciscoSystems
93.117.223.37,2011,f063f966500b,"HUAWEI Technology Co.,Ltd"
94.214.9.1,9,00002790ff8000,ciscoSystems
143.178.27.255,1344692224,not_set,
92.66.156.91,9,0044b6be089d00,ciscoSystems
145.131.90.83,8072,No Mac indication (0x03),net-snmp
89.146.11.194,9,0000fec8f34aa0,ciscoSystems
94.215.77.0,9,00285261fac000,ciscoSystems
92.64.60.104,9,0000fcba717546,ciscoSystems
145.131.173.207,9,005897bdb1dbb0,ciscoSystems
95.99.192.1,1344692224,not_set,
95.96.2.255,9,0000ebd5ec4400,ciscoSystems
93.117.242.209,13191,70fc8c16130a,OneAccess
87.215.78.33,invalid,invalid,
92.109.68.255,9,0000ebd5ec4400,ciscoSystems
91.196.171.25,1991,002438a2b900,"Brocade Communication Systems, Inc. (formerly 'Foundry Networks, Inc.')"
92.66.150.128,9,004c5d3c541070,ciscoSystems
93.117.251.177,13191,70fc8c161b1c,OneAccess
144.178.228.7,9,0000778df5cf81,ciscoSystems
109.206.178.68,8072,No Mac indication (0x03),net-snmp
91.148.242.2,1970372420,No Mac indication (0x03),
92.70.239.190,9,00005d73ccdd74,ciscoSystems
93.117.237.152,13191,70fc8c50df00,OneAccess
92.67.140.188,9,0080248f15c580,ciscoSystems
93.117.208.210,9,007411b2a6ff80,ciscoSystems
91.189.211.193,9,0058ac78269080,ciscoSystems
145.220.141.86,8072,No Mac indication (0x03),net-snmp
145.220.141.27,8072,No Mac indication (0x03),net-snmp
93.90.66.79,9,0070695abf27ee,ciscoSystems
145.128.240.21,9,No Mac indication (0x03),ciscoSystems
149.143.21.64,9,00a00f37fa5300,ciscoSystems
109.72.92.195,1991,0012f29c3300,"Brocade Communication Systems, Inc. (formerly 'Foundry Networks, Inc.')"
94.215.59.1,9,00002790ff7000,ciscoSystems
91.105.216.251,9,00648f3eabda80,ciscoSystems
92.65.123.232,9,000062ec6dcda0,ciscoSystems
94.142.209.161,9,0058ac78268c80,ciscoSystems
91.103.21.184,9,not_set,ciscoSystems
87.233.240.146,2636,100e7e4cff00,"Juniper Networks, Inc."
145.131.248.205,9,00003a7d4aa3a0,ciscoSystems
89.32.247.76,8072,No Mac indication (0x03),net-snmp
93.186.187.243,1588,No Mac indication (0x03),"Brocade Communications Systems, Inc."
94.210.225.164,2863,No Mac indication (0x03),Thomson Inc.
145.74.232.63,9,0024169db44580,ciscoSystems
92.110.60.255,9,000029c2017000,ciscoSystems
109.109.124.48,9,0024169dbaf400,ciscoSystems
92.66.35.129,9,00885a92e999d6,ciscoSystems
92.246.95.190,9,d4e88026545c,ciscoSystems
92.110.34.255,9,000029c2017000,ciscoSystems
91.103.21.33,9,00ecf40c4fd66c,ciscoSystems
92.70.254.121,9,00c828e5f38100,ciscoSystems
94.211.192.0,9,007018a767a800,ciscoSystems
92.66.71.217,9,00cc46d6c0ed48,ciscoSystems
92.68.168.95,9,00188090f91524,ciscoSystems
144.178.250.191,9,006c29d223ba81,ciscoSystems
93.117.240.129,9,007411b2a7d400,ciscoSystems
139.28.203.43,9,006c8d771bff80,ciscoSystems
94.209.180.37,4684,No Mac indication (0x03),Ambit Microsystems Corporation
94.213.35.1,9,0034f8e758d800,ciscoSystems
92.63.170.114,2636,No Mac indication (0x03),"Juniper Networks, Inc."
154.14.102.82,9,0084b26168978e,ciscoSystems
91.232.115.143,9,00b0aa7727b000,ciscoSystems
92.68.107.1,9,00002a103c1430,ciscoSystems
145.220.141.84,8072,No Mac indication (0x03),net-snmp
134.19.188.89,2636,ec3873d5382c,"Juniper Networks, Inc."
145.94.57.255,9,0020cfae83f100,ciscoSystems
87.236.1.141,9,0044d3caa7e818,ciscoSystems
92.70.189.106,invalid,invalid,
109.109.101.145,9,00b0c53ce4ad80,ciscoSystems
92.71.243.24,8072,No Mac indication (0x03),net-snmp
95.97.83.44,invalid,invalid,
92.64.8.53,9,0084b802a2deca,ciscoSystems
93.92.27.141,9,004c776d8486a4,ciscoSystems
109.109.111.120,9,0028affd0e6300,ciscoSystems
145.131.159.207,9,No Mac indication (0x03),ciscoSystems
144.178.226.56,9,00f8c288cb2f29,ciscoSystems
149.143.20.168,9,0088f031e2cd80,ciscoSystems
145.131.134.65,invalid,invalid,
89.20.82.47,8072,No Mac indication (0x03),net-snmp
94.211.120.52,2863,No Mac indication (0x03),Thomson Inc.
92.67.221.184,9,0080248fdc7880,ciscoSystems
94.127.96.228,9,00002255ec60d8,ciscoSystems
91.233.67.202,99,not_set,SNMP Research
91.232.115.169,9,00b0aa7727b000,ciscoSystems
87.195.106.80,9,No Mac indication (0x03),ciscoSystems
90.145.132.3,232,No Mac indication (0x03),Compaq
94.103.158.49,9,000005740fb2bc,ciscoSystems
109.109.101.233,9,00b0c53ce4ad80,ciscoSystems
87.237.30.45,9,00b4de31a1e210,ciscoSystems
149.143.12.114,9,00588b1c9d3680,ciscoSystems
87.250.153.244,8072,No Mac indication (0x03),net-snmp
128.199.41.145,8072,No Mac indication (0x03),net-snmp
93.190.141.109,8072,No Mac indication (0x03),net-snmp
87.213.77.136,9,004c008267d080,ciscoSystems
94.208.9.0,9,007018a7662400,ciscoSystems
95.128.3.199,9,000023ea702001,ciscoSystems
94.103.153.225,9,000005740fb2bc,ciscoSystems
91.215.4.127,9,00286f7f43b600,ciscoSystems
92.64.243.151,9,0000351a57d6c0,ciscoSystems
92.67.143.227,9,0028affdc76f80,ciscoSystems
94.212.132.255,9,00f8a73af0f400,ciscoSystems
93.117.211.105,9,004c710de35e80,ciscoSystems
