IP,Enterprise Code,MAC,Vendor
31.149.41.1,9,00e4387ed43380,ciscoSystems
37.46.112.154,8072,No Mac indication (0x03),net-snmp
37.153.231.9,9,00087b87079780,ciscoSystems
31.151.242.124,invalid,invalid,
23.249.233.33,9,00442b03533e00,ciscoSystems
31.160.125.119,9,0000a6ca80090c,ciscoSystems
5.159.39.8,9,00001e4a9f6ca8,ciscoSystems
31.160.190.145,9,0000fcba714bca,ciscoSystems
37.17.218.165,9,00ec447630f483,ciscoSystems
31.161.9.145,9,00e4387ecc7180,ciscoSystems
2.58.166.3,invalid,invalid,
31.160.89.185,9,00c014fe4e3580,ciscoSystems
37.74.29.208,9,00188b9d4341f0,ciscoSystems
31.223.165.129,9,00505c88eab980,ciscoSystems
31.149.205.209,9,00cc167ed36ea8,ciscoSystems
37.235.118.203,9,009077eeb1af00,ciscoSystems
37.0.82.13,9,0070ca9b123250,ciscoSystems
5.255.97.253,invalid,invalid,
23.249.238.7,9,not_set,ciscoSystems
31.149.212.103,9,00a8b4564ecfd0,ciscoSystems
23.249.232.17,9,0040017a6e2748,ciscoSystems
5.22.250.231,8072,No Mac indication (0x03),net-snmp
31.160.114.113,9,00c4f7d5148d6c,ciscoSystems
31.160.26.8,9,004c776d568b3e,ciscoSystems
37.247.35.225,9,000023ebb812b0,ciscoSystems
31.160.93.177,9,00e4a41cc87e00,ciscoSystems
31.149.8.208,9,005897bdb4b46c,ciscoSystems
31.3.13.37,9,00d4e880f60e00,ciscoSystems
37.26.224.110,9,not_set,ciscoSystems
37.148.194.126,2238,No Mac indication (0x03),The FreeBSD Project
