"Running as user ""root"" and group ""root"". This could be dangerous."
Capturing on 'wlp0s20f3'
ip.src_host;snmp.msgAuthoritativeEngineID;snmp.msgAuthoritativeEngineBoots;snmp.msgAuthoritativeEngineTime
92.109.27.0;8000000903006c13d5219000;18;30805316
94.209.140.50;8000124c05689423e5c60c33;94;2452673
93.117.226.217;800033870370fc8c161786;0;0
90.145.28.203;8000000903004c4e3518ba00;24;88006435
145.220.141.78;80001f8880261889700e3bf35f00000000;17;4521707
89.207.29.42;8000000903002c542db0f580;6;59032094
93.117.215.163;800033870370fc8c115249;0;0
87.212.189.255;502660000000010030000010;6;49549496
144.178.110.218;800000090300588b1c9d1600;44;2399183
87.236.5.85;800000090300588d095e31c0;4;42823370
87.212.161.255;502660000000010030000125;6;50501028
94.208.14.255;800000090300848a8df19400;8;28987329
95.129.121.144;80000009030074a2e62a84bc;7;24544591
92.65.69.63;80000009030000a38e755680;10;790679
95.97.70.178;80001f88036c98eb067d6c;1;1537041
95.128.2.110;80000634b26ef40010147ca695;1;107268977
87.236.7.222;800000090300e8b748c3fb88;13;6380665
152.89.6.17;80000009030018e72874e900;27;34800342
87.212.146.1;502660000000010030000028;7;50069202
92.108.139.1;80000009030000a289271400;8;29592468
145.102.33.129;80000a4c01916621fa;9;146627420
